ItemNum,Phase,Painting,Artist,Schedule,ConDir,ConName,ConCat,Block,Notes,Subj,Stimset,Stimsubset,Order
35,GenTest,Images/McKinley/McKinley15.jpg,McKinley,Blocked,NA,NA,NA,5,NA,3,35,b,BF
59,GenTest,Images/Grossman/Grossman15.jpg,Grossman,Interleaved,NA,NA,NA,5,NA,3,35,b,BF
11,GenTest,Images/Lindenberg/Lindenberg12.jpg,Lindenberg,Blocked,NA,NA,NA,5,NA,3,35,b,BF
71,GenTest,Images/Schlorff/Schlorff12.jpg,Schlorff,Interleaved,NA,NA,NA,5,NA,3,35,b,BF
23,GenTest,Images/Schwartz/Schwartz14.jpg,Schwartz,Interleaved,NA,NA,NA,5,NA,3,35,b,BF
47,GenTest,Images/Walter/Walter14.jpg,Walter,Blocked,NA,NA,NA,5,NA,3,35,b,BF
24,GenTest,Images/Schwartz/Schwartz16.jpg,Schwartz,Interleaved,NA,NA,NA,6,NA,3,35,b,BF
12,GenTest,Images/Lindenberg/Lindenberg8.jpg,Lindenberg,Blocked,NA,NA,NA,6,NA,3,35,b,BF
36,GenTest,Images/McKinley/McKinley18.jpg,McKinley,Blocked,NA,NA,NA,6,NA,3,35,b,BF
48,GenTest,Images/Walter/Walter8.jpg,Walter,Blocked,NA,NA,NA,6,NA,3,35,b,BF
60,GenTest,Images/Grossman/Grossman12.jpg,Grossman,Interleaved,NA,NA,NA,6,NA,3,35,b,BF
72,GenTest,Images/Schlorff/Schlorff15.jpg,Schlorff,Interleaved,NA,NA,NA,6,NA,3,35,b,BF
9,instruct,NA,NA,NA,NA,NA,NA,NA,D2GR,3,35,b,BF
17,GenRecTest,Images/Schwartz/Schwartz1.jpg,Schwartz,Interleaved,Images/Context/mm/Gateway_Arch.jpg,Gateway Arch,mm,NA,NA,3,35,b,BF
15,GenRecTest,Images/Schwartz/Schwartz2.jpg,Schwartz,Interleaved,Images/Context/nat/Himalayas.jpg,Himalayas,nat,NA,NA,3,35,b,BF
12,GenRecTest,Images/Schlorff/Schlorff5.jpg,Schlorff,Interleaved,Images/Context/mm/Epcot_Center.jpg,Epcot Center,mm,NA,NA,3,35,b,BF
3,GenRecTest,Images/Grossman/Grossman6.jpg,Grossman,Interleaved,Images/Context/mm/Boston_Common.jpg,Boston Common,mm,NA,NA,3,35,b,BF
11,GenRecTest,Images/Schlorff/Schlorff1.jpg,Schlorff,Interleaved,Images/Context/nat/Amazon_River.jpg,Amazon River,nat,NA,NA,3,35,b,BF
4,GenRecTest,Images/Grossman/Grossman4.jpg,Grossman,Interleaved,Images/Context/nat/Yellowstone.jpg,Yellowstone,nat,NA,NA,3,35,b,BF
